"filename", "language", "JSON with Comments", "JSON", "TypeScript", "Prisma", "JavaScript", "MS SQL", "comment", "blank", "total"
"c:\Users\surek\OneDrive\Desktop\Coding\CB-backend\dist\app.d.ts", "TypeScript", 0, 0, 2, 0, 0, 0, 1, 0, 3
"c:\Users\surek\OneDrive\Desktop\Coding\CB-backend\dist\app.js", "JavaScript", 0, 0, 0, 0, 19, 0, 1, 0, 20
"c:\Users\surek\OneDrive\Desktop\Coding\CB-backend\dist\config\env.d.ts", "TypeScript", 0, 0, 1, 0, 0, 0, 1, 0, 2
"c:\Users\surek\OneDrive\Desktop\Coding\CB-backend\dist\config\env.js", "JavaScript", 0, 0, 0, 0, 1, 0, 29, 0, 30
"c:\Users\surek\OneDrive\Desktop\Coding\CB-backend\dist\config\prisma.d.ts", "TypeScript", 0, 0, 7, 0, 0, 0, 1, 0, 8
"c:\Users\surek\OneDrive\Desktop\Coding\CB-backend\dist\config\prisma.js", "JavaScript", 0, 0, 0, 0, 14, 0, 1, 0, 15
"c:\Users\surek\OneDrive\Desktop\Coding\CB-backend\dist\config\resend.d.ts", "TypeScript", 0, 0, 1, 0, 0, 0, 1, 0, 2
"c:\Users\surek\OneDrive\Desktop\Coding\CB-backend\dist\config\resend.js", "JavaScript", 0, 0, 0, 0, 1, 0, 2, 0, 3
"c:\Users\surek\OneDrive\Desktop\Coding\CB-backend\dist\generated\prisma\browser.d.ts", "TypeScript", 0, 0, 20, 0, 0, 0, 65, 0, 85
"c:\Users\surek\OneDrive\Desktop\Coding\CB-backend\dist\generated\prisma\browser.js", "JavaScript", 0, 0, 0, 0, 4, 0, 14, 0, 18
"c:\Users\surek\OneDrive\Desktop\Coding\CB-backend\dist\generated\prisma\client.d.ts", "TypeScript", 0, 0, 24, 0, 0, 0, 80, 0, 104
"c:\Users\surek\OneDrive\Desktop\Coding\CB-backend\dist\generated\prisma\client.js", "JavaScript", 0, 0, 0, 0, 12, 0, 26, 0, 38
"c:\Users\surek\OneDrive\Desktop\Coding\CB-backend\dist\generated\prisma\commonInputTypes.d.ts", "TypeScript", 0, 0, 540, 0, 0, 0, 1, 0, 541
"c:\Users\surek\OneDrive\Desktop\Coding\CB-backend\dist\generated\prisma\commonInputTypes.js", "JavaScript", 0, 0, 0, 0, 1, 0, 10, 0, 11
"c:\Users\surek\OneDrive\Desktop\Coding\CB-backend\dist\generated\prisma\enums.d.ts", "TypeScript", 0, 0, 38, 0, 0, 0, 1, 0, 39
"c:\Users\surek\OneDrive\Desktop\Coding\CB-backend\dist\generated\prisma\enums.js", "JavaScript", 0, 0, 0, 0, 32, 0, 10, 0, 42
"c:\Users\surek\OneDrive\Desktop\Coding\CB-backend\dist\generated\prisma\internal\class.d.ts", "TypeScript", 0, 0, 82, 0, 0, 0, 216, 0, 298
"c:\Users\surek\OneDrive\Desktop\Coding\CB-backend\dist\generated\prisma\internal\class.js", "JavaScript", 0, 0, 0, 0, 38, 0, 12, 0, 50
"c:\Users\surek\OneDrive\Desktop\Coding\CB-backend\dist\generated\prisma\internal\prismaNamespace.d.ts", "TypeScript", 0, 0, 1652, 0, 0, 0, 231, 0, 1883
"c:\Users\surek\OneDrive\Desktop\Coding\CB-backend\dist\generated\prisma\internal\prismaNamespace.js", "JavaScript", 0, 0, 0, 0, 193, 0, 47, 0, 240
"c:\Users\surek\OneDrive\Desktop\Coding\CB-backend\dist\generated\prisma\internal\prismaNamespaceBrowser.d.ts", "TypeScript", 0, 0, 199, 0, 0, 0, 16, 0, 215
"c:\Users\surek\OneDrive\Desktop\Coding\CB-backend\dist\generated\prisma\internal\prismaNamespaceBrowser.js", "JavaScript", 0, 0, 0, 0, 176, 0, 34, 0, 210
"c:\Users\surek\OneDrive\Desktop\Coding\CB-backend\dist\generated\prisma\models.d.ts", "TypeScript", 0, 0, 17, 0, 0, 0, 1, 0, 18
"c:\Users\surek\OneDrive\Desktop\Coding\CB-backend\dist\generated\prisma\models.js", "JavaScript", 0, 0, 0, 0, 1, 0, 1, 0, 2
"c:\Users\surek\OneDrive\Desktop\Coding\CB-backend\dist\generated\prisma\models\Account.d.ts", "TypeScript", 0, 0, 687, 0, 0, 0, 644, 0, 1331
"c:\Users\surek\OneDrive\Desktop\Coding\CB-backend\dist\generated\prisma\models\Account.js", "JavaScript", 0, 0, 0, 0, 1, 0, 1, 0, 2
"c:\Users\surek\OneDrive\Desktop\Coding\CB-backend\dist\generated\prisma\models\Chapter.d.ts", "TypeScript", 0, 0, 728, 0, 0, 0, 683, 0, 1411
"c:\Users\surek\OneDrive\Desktop\Coding\CB-backend\dist\generated\prisma\models\Chapter.js", "JavaScript", 0, 0, 0, 0, 1, 0, 1, 0, 2
"c:\Users\surek\OneDrive\Desktop\Coding\CB-backend\dist\generated\prisma\models\ChapterState.d.ts", "TypeScript", 0, 0, 611, 0, 0, 0, 634, 0, 1245
"c:\Users\surek\OneDrive\Desktop\Coding\CB-backend\dist\generated\prisma\models\ChapterState.js", "JavaScript", 0, 0, 0, 0, 1, 0, 1, 0, 2
"c:\Users\surek\OneDrive\Desktop\Coding\CB-backend\dist\generated\prisma\models\Coupon.d.ts", "TypeScript", 0, 0, 496, 0, 0, 0, 608, 0, 1104
"c:\Users\surek\OneDrive\Desktop\Coding\CB-backend\dist\generated\prisma\models\Coupon.js", "JavaScript", 0, 0, 0, 0, 1, 0, 1, 0, 2
"c:\Users\surek\OneDrive\Desktop\Coding\CB-backend\dist\generated\prisma\models\Course.d.ts", "TypeScript", 0, 0, 668, 0, 0, 0, 667, 0, 1335
"c:\Users\surek\OneDrive\Desktop\Coding\CB-backend\dist\generated\prisma\models\Course.js", "JavaScript", 0, 0, 0, 0, 1, 0, 1, 0, 2
"c:\Users\surek\OneDrive\Desktop\Coding\CB-backend\dist\generated\prisma\models\InterviewBooking.d.ts", "TypeScript", 0, 0, 856, 0, 0, 0, 646, 0, 1502
"c:\Users\surek\OneDrive\Desktop\Coding\CB-backend\dist\generated\prisma\models\InterviewBooking.js", "JavaScript", 0, 0, 0, 0, 1, 0, 1, 0, 2
"c:\Users\surek\OneDrive\Desktop\Coding\CB-backend\dist\generated\prisma\models\InterviewPass.d.ts", "TypeScript", 0, 0, 757, 0, 0, 0, 668, 0, 1425
"c:\Users\surek\OneDrive\Desktop\Coding\CB-backend\dist\generated\prisma\models\InterviewPass.js", "JavaScript", 0, 0, 0, 0, 1, 0, 1, 0, 2
"c:\Users\surek\OneDrive\Desktop\Coding\CB-backend\dist\generated\prisma\models\InterviewSlot.d.ts", "TypeScript", 0, 0, 448, 0, 0, 0, 652, 0, 1100
"c:\Users\surek\OneDrive\Desktop\Coding\CB-backend\dist\generated\prisma\models\InterviewSlot.js", "JavaScript", 0, 0, 0, 0, 1, 0, 1, 0, 2
"c:\Users\surek\OneDrive\Desktop\Coding\CB-backend\dist\generated\prisma\models\Lesson.d.ts", "TypeScript", 0, 0, 762, 0, 0, 0, 668, 0, 1430
"c:\Users\surek\OneDrive\Desktop\Coding\CB-backend\dist\generated\prisma\models\Lesson.js", "JavaScript", 0, 0, 0, 0, 1, 0, 1, 0, 2
"c:\Users\surek\OneDrive\Desktop\Coding\CB-backend\dist\generated\prisma\models\LessonProgress.d.ts", "TypeScript", 0, 0, 721, 0, 0, 0, 644, 0, 1365
"c:\Users\surek\OneDrive\Desktop\Coding\CB-backend\dist\generated\prisma\models\LessonProgress.js", "JavaScript", 0, 0, 0, 0, 1, 0, 1, 0, 2
"c:\Users\surek\OneDrive\Desktop\Coding\CB-backend\dist\generated\prisma\models\PayoutRequest.d.ts", "TypeScript", 0, 0, 644, 0, 0, 0, 644, 0, 1288
"c:\Users\surek\OneDrive\Desktop\Coding\CB-backend\dist\generated\prisma\models\PayoutRequest.js", "JavaScript", 0, 0, 0, 0, 1, 0, 1, 0, 2
"c:\Users\surek\OneDrive\Desktop\Coding\CB-backend\dist\generated\prisma\models\Product.d.ts", "TypeScript", 0, 0, 588, 0, 0, 0, 677, 0, 1265
"c:\Users\surek\OneDrive\Desktop\Coding\CB-backend\dist\generated\prisma\models\Product.js", "JavaScript", 0, 0, 0, 0, 1, 0, 1, 0, 2
"c:\Users\surek\OneDrive\Desktop\Coding\CB-backend\dist\generated\prisma\models\ProductCourse.d.ts", "TypeScript", 0, 0, 528, 0, 0, 0, 634, 0, 1162
"c:\Users\surek\OneDrive\Desktop\Coding\CB-backend\dist\generated\prisma\models\ProductCourse.js", "JavaScript", 0, 0, 0, 0, 1, 0, 1, 0, 2
"c:\Users\surek\OneDrive\Desktop\Coding\CB-backend\dist\generated\prisma\models\Referral.d.ts", "TypeScript", 0, 0, 931, 0, 0, 0, 644, 0, 1575
"c:\Users\surek\OneDrive\Desktop\Coding\CB-backend\dist\generated\prisma\models\Referral.js", "JavaScript", 0, 0, 0, 0, 1, 0, 1, 0, 2
"c:\Users\surek\OneDrive\Desktop\Coding\CB-backend\dist\generated\prisma\models\User.d.ts", "TypeScript", 0, 0, 1836, 0, 0, 0, 772, 0, 2608
"c:\Users\surek\OneDrive\Desktop\Coding\CB-backend\dist\generated\prisma\models\User.js", "JavaScript", 0, 0, 0, 0, 1, 0, 1, 0, 2
"c:\Users\surek\OneDrive\Desktop\Coding\CB-backend\dist\generated\prisma\models\UserProduct.d.ts", "TypeScript", 0, 0, 796, 0, 0, 0, 658, 0, 1454
"c:\Users\surek\OneDrive\Desktop\Coding\CB-backend\dist\generated\prisma\models\UserProduct.js", "JavaScript", 0, 0, 0, 0, 1, 0, 1, 0, 2
"c:\Users\surek\OneDrive\Desktop\Coding\CB-backend\dist\index.d.ts", "TypeScript", 0, 0, 1, 0, 0, 0, 1, 0, 2
"c:\Users\surek\OneDrive\Desktop\Coding\CB-backend\dist\index.js", "JavaScript", 0, 0, 0, 0, 2, 0, 1, 0, 3
"c:\Users\surek\OneDrive\Desktop\Coding\CB-backend\dist\server.d.ts", "TypeScript", 0, 0, 1, 0, 0, 0, 1, 0, 2
"c:\Users\surek\OneDrive\Desktop\Coding\CB-backend\dist\server.js", "JavaScript", 0, 0, 0, 0, 14, 0, 1, 0, 15
"c:\Users\surek\OneDrive\Desktop\Coding\CB-backend\dist\shared\errors\AppError.d.ts", "TypeScript", 0, 0, 14, 0, 0, 0, 1, 0, 15
"c:\Users\surek\OneDrive\Desktop\Coding\CB-backend\dist\shared\errors\AppError.js", "JavaScript", 0, 0, 0, 0, 25, 0, 4, 0, 29
"c:\Users\surek\OneDrive\Desktop\Coding\CB-backend\dist\shared\errors\catchAsync.d.ts", "TypeScript", 0, 0, 2, 0, 0, 0, 1, 0, 3
"c:\Users\surek\OneDrive\Desktop\Coding\CB-backend\dist\shared\errors\catchAsync.js", "JavaScript", 0, 0, 0, 0, 5, 0, 1, 0, 6
"c:\Users\surek\OneDrive\Desktop\Coding\CB-backend\dist\shared\middlewares\errorHandler.d.ts", "TypeScript", 0, 0, 3, 0, 0, 0, 1, 0, 4
"c:\Users\surek\OneDrive\Desktop\Coding\CB-backend\dist\shared\middlewares\errorHandler.js", "JavaScript", 0, 0, 0, 0, 22, 0, 12, 0, 34
"c:\Users\surek\OneDrive\Desktop\Coding\CB-backend\dist\shared\utils\apiResopnse.d.ts", "TypeScript", 0, 0, 2, 0, 0, 0, 9, 0, 11
"c:\Users\surek\OneDrive\Desktop\Coding\CB-backend\dist\shared\utils\apiResopnse.js", "JavaScript", 0, 0, 0, 0, 11, 0, 10, 0, 21
"c:\Users\surek\OneDrive\Desktop\Coding\CB-backend\package-lock.json", "JSON", 0, 3702, 0, 0, 0, 0, 0, 1, 3703
"c:\Users\surek\OneDrive\Desktop\Coding\CB-backend\package.json", "JSON", 0, 40, 0, 0, 0, 0, 0, 1, 41
"c:\Users\surek\OneDrive\Desktop\Coding\CB-backend\prisma.config.ts", "TypeScript", 0, 0, 11, 0, 0, 0, 2, 2, 15
"c:\Users\surek\OneDrive\Desktop\Coding\CB-backend\prisma\migrations\20260711112824_init\migration.sql", "MS SQL", 0, 0, 0, 0, 0, 179, 49, 65, 293
"c:\Users\surek\OneDrive\Desktop\Coding\CB-backend\prisma\migrations\20260713051139_add\migration.sql", "MS SQL", 0, 0, 0, 0, 0, 2, 1, 1, 4
"c:\Users\surek\OneDrive\Desktop\Coding\CB-backend\prisma\migrations\20260713103811_made\migration.sql", "MS SQL", 0, 0, 0, 0, 0, 1, 1, 1, 3
"c:\Users\surek\OneDrive\Desktop\Coding\CB-backend\prisma\migrations\20260713184659_added\migration.sql", "MS SQL", 0, 0, 0, 0, 0, 2, 2, 2, 6
"c:\Users\surek\OneDrive\Desktop\Coding\CB-backend\prisma\schema.prisma", "Prisma", 0, 0, 0, 217, 0, 0, 34, 55, 306
"c:\Users\surek\OneDrive\Desktop\Coding\CB-backend\src\app.ts", "TypeScript", 0, 0, 25, 0, 0, 0, 0, 8, 33
"c:\Users\surek\OneDrive\Desktop\Coding\CB-backend\src\config\env.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 28, 6, 34
"c:\Users\surek\OneDrive\Desktop\Coding\CB-backend\src\config\prisma.ts", "TypeScript", 0, 0, 17, 0, 0, 0, 0, 6, 23
"c:\Users\surek\OneDrive\Desktop\Coding\CB-backend\src\config\resend.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\surek\OneDrive\Desktop\Coding\CB-backend\src\index.ts", "TypeScript", 0, 0, 1, 0, 0, 0, 0, 1, 2
"c:\Users\surek\OneDrive\Desktop\Coding\CB-backend\src\modules\courses\courses.controller.ts", "TypeScript", 0, 0, 80, 0, 0, 0, 14, 21, 115
"c:\Users\surek\OneDrive\Desktop\Coding\CB-backend\src\modules\courses\courses.dbService.ts", "TypeScript", 0, 0, 150, 0, 0, 0, 16, 15, 181
"c:\Users\surek\OneDrive\Desktop\Coding\CB-backend\src\modules\courses\courses.routes.ts", "TypeScript", 0, 0, 23, 0, 0, 0, 11, 9, 43
"c:\Users\surek\OneDrive\Desktop\Coding\CB-backend\src\modules\courses\courses.schemas.ts", "TypeScript", 0, 0, 63, 0, 0, 0, 12, 7, 82
"c:\Users\surek\OneDrive\Desktop\Coding\CB-backend\src\modules\users\users.authService.ts", "TypeScript", 0, 0, 19, 0, 0, 0, 0, 4, 23
"c:\Users\surek\OneDrive\Desktop\Coding\CB-backend\src\modules\users\users.controller.ts", "TypeScript", 0, 0, 58, 0, 0, 0, 25, 17, 100
"c:\Users\surek\OneDrive\Desktop\Coding\CB-backend\src\modules\users\users.dbService.ts", "TypeScript", 0, 0, 55, 0, 0, 0, 1, 5, 61
"c:\Users\surek\OneDrive\Desktop\Coding\CB-backend\src\modules\users\users.routes.ts", "TypeScript", 0, 0, 14, 0, 0, 0, 1, 8, 23
"c:\Users\surek\OneDrive\Desktop\Coding\CB-backend\src\modules\users\users.schemas.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\surek\OneDrive\Desktop\Coding\CB-backend\src\server.ts", "TypeScript", 0, 0, 13, 0, 0, 0, 0, 3, 16
"c:\Users\surek\OneDrive\Desktop\Coding\CB-backend\src\shared\errors\AppError.ts", "TypeScript", 0, 0, 25, 0, 0, 0, 3, 6, 34
"c:\Users\surek\OneDrive\Desktop\Coding\CB-backend\src\shared\errors\catchAsync.ts", "TypeScript", 0, 0, 6, 0, 0, 0, 0, 2, 8
"c:\Users\surek\OneDrive\Desktop\Coding\CB-backend\src\shared\middlewares\authMiddleware.ts", "TypeScript", 0, 0, 130, 0, 0, 0, 14, 21, 165
"c:\Users\surek\OneDrive\Desktop\Coding\CB-backend\src\shared\middlewares\errorHandler.ts", "TypeScript", 0, 0, 26, 0, 0, 0, 11, 6, 43
"c:\Users\surek\OneDrive\Desktop\Coding\CB-backend\src\shared\utils\apiResopnse.ts", "TypeScript", 0, 0, 22, 0, 0, 0, 10, 5, 37
"c:\Users\surek\OneDrive\Desktop\Coding\CB-backend\src\shared\utils\gitOauth.ts", "TypeScript", 0, 0, 82, 0, 0, 0, 8, 22, 112
"c:\Users\surek\OneDrive\Desktop\Coding\CB-backend\tsconfig.json", "JSON with Comments", 24, 0, 0, 0, 0, 0, 18, 6, 48
"Total", "-", 24, 3742, 15483, 217, 587, 184, 11666, 308, 32211